Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
WIND,year,3.840,3.809,3.875,3.971,3.681,3.714,4.212,3.577,3.944,3.841,4.235,3.749,3.988,4.039,4.297,3.996,3.930,3.875,4.215,4.155,4.069,3.882,4.025,3.826,3.944,4.078,4.043,4.088,4.162,4.050,3.663,4.237,4.018,4.225,4.171,4.481,3.878,4.060,4.011,3.918,4.295,3.698,3.933,3.860,4.066
WIND,MAMJJASO,3.691,3.698,3.722,3.704,3.410,3.709,3.902,3.561,3.763,3.675,3.874,3.674,3.908,3.685,4.105,3.801,3.720,3.618,4.044,3.767,3.700,3.880,3.713,3.635,3.845,3.872,3.831,3.836,3.998,3.989,3.759,4.054,3.822,4.066,3.833,3.965,3.696,4.010,3.830,3.893,4.012,3.530,3.672,3.657,3.959
WIND,AMJJAS,3.553,3.521,3.579,3.388,3.248,3.806,3.722,3.429,3.684,3.418,3.493,3.706,3.797,3.675,3.824,3.494,3.572,3.504,3.821,3.623,3.478,3.711,3.577,3.572,3.732,3.820,3.683,3.818,3.718,3.969,3.670,4.004,3.877,3.915,3.546,3.923,3.728,3.822,3.653,3.723,3.832,3.294,3.552,3.544,3.912
WIND,ONDJFM,3.461,4.498,4.056,4.549,4.203,3.843,4.060,4.276,4.218,4.374,4.709,3.860,4.124,4.487,4.577,4.801,4.042,4.430,4.228,4.656,4.734,4.188,4.674,4.016,4.144,4.325,4.088,4.781,4.442,4.142,3.871,3.809,4.622,4.130,4.963,4.763,4.752,3.983,4.361,4.276,4.656,4.207,4.275,4.114,4.297
WIND,NDJF,3.228,4.570,3.946,4.807,4.206,3.745,4.148,4.281,4.373,4.436,4.659,3.777,4.034,4.799,4.522,5.047,4.016,4.388,4.423,4.653,5.025,4.158,4.696,4.139,4.194,4.486,3.947,4.981,4.621,3.985,3.924,3.779,4.813,4.225,5.107,4.755,5.333,4.033,4.235,4.138,4.803,4.168,4.445,4.087,4.375
VPD,year,0.208,0.200,0.223,0.229,0.241,0.198,0.210,0.202,0.215,0.268,0.271,0.219,0.229,0.214,0.230,0.272,0.240,0.238,0.221,0.236,0.219,0.230,0.228,0.276,0.235,0.243,0.263,0.224,0.221,0.228,0.234,0.256,0.213,0.244,0.240,0.244,0.226,0.238,0.262,0.239,0.259,0.233,0.291,0.247,0.233
VPD,MAMJJASO,0.253,0.240,0.275,0.273,0.301,0.235,0.248,0.245,0.253,0.329,0.334,0.266,0.280,0.255,0.280,0.342,0.298,0.293,0.258,0.280,0.261,0.281,0.275,0.344,0.284,0.294,0.323,0.265,0.266,0.285,0.300,0.315,0.254,0.297,0.293,0.291,0.272,0.293,0.328,0.293,0.321,0.286,0.365,0.302,0.282
VPD,AMJJAS,0.287,0.270,0.312,0.305,0.345,0.259,0.275,0.275,0.279,0.374,0.370,0.300,0.316,0.278,0.311,0.389,0.338,0.322,0.278,0.308,0.286,0.316,0.302,0.382,0.318,0.330,0.372,0.293,0.292,0.316,0.337,0.349,0.275,0.338,0.324,0.326,0.303,0.322,0.380,0.332,0.366,0.317,0.410,0.346,0.318
VPD,ONDJFM,0.107,0.140,0.133,0.139,0.144,0.134,0.137,0.142,0.141,0.158,0.166,0.145,0.146,0.152,0.141,0.149,0.145,0.153,0.163,0.155,0.166,0.137,0.162,0.157,0.162,0.153,0.150,0.162,0.155,0.139,0.135,0.138,0.177,0.132,0.161,0.154,0.155,0.149,0.147,0.157,0.148,0.140,0.169,0.154,0.147
VPD,NDJF,0.094,0.131,0.113,0.135,0.126,0.117,0.121,0.128,0.130,0.147,0.140,0.121,0.131,0.133,0.120,0.132,0.122,0.129,0.141,0.137,0.145,0.122,0.141,0.129,0.137,0.142,0.129,0.147,0.140,0.113,0.106,0.111,0.146,0.120,0.142,0.130,0.147,0.126,0.128,0.137,0.128,0.119,0.145,0.134,0.131
