Variable,Season,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
PREC,year,733.382,798.162,532.574,660.866,625.532,684.948,724.748,653.587,681.348,657.846,807.740,654.201,629.891,715.575,662.936,676.338,571.894,732.982,821.861,650.276,650.349,782.554,575.509,629.526,684.595,609.753,527.156,748.274,707.611,605.744,429.015,322.153,377.101,306.045,486.109,609.084,733.845,772.218,429.991,624.442,586.237,625.646,645.838,741.149,623.865
PREC,MAMJJASO,555.332,560.671,382.826,433.995,462.989,521.616,509.888,460.985,491.456,484.477,553.996,448.631,398.057,508.915,461.764,488.971,360.519,530.394,618.928,398.414,464.358,549.127,349.623,463.179,503.450,454.212,368.458,508.402,503.420,425.390,297.171,205.117,258.261,201.431,372.790,385.581,511.938,597.976,325.231,429.522,423.062,455.373,428.396,483.455,432.338
PREC,AMJJAS,417.099,387.804,307.416,308.461,365.505,426.104,432.702,426.120,411.603,343.194,415.410,361.299,296.389,408.296,330.064,371.582,279.924,368.660,486.657,268.422,363.370,445.779,236.428,383.294,359.137,388.007,267.595,393.924,338.933,298.555,246.020,171.476,212.050,176.986,258.805,338.756,421.938,456.237,256.321,310.131,308.926,374.715,366.318,301.418,375.977
PREC,ONDJFM,77.521,377.179,354.624,311.589,299.060,236.542,287.144,261.547,239.929,285.384,385.426,318.041,344.965,335.209,283.716,368.455,207.765,313.129,416.702,343.442,357.336,269.838,388.718,225.804,305.771,295.168,193.065,351.392,358.947,316.824,257.011,180.410,182.317,126.127,147.314,295.764,279.078,270.956,288.925,212.374,336.685,216.580,311.787,322.589,377.794
PREC,NDJF,56.832,198.078,208.060,205.619,218.985,124.900,192.210,200.062,175.636,203.658,234.816,205.554,245.450,241.139,148.833,248.094,137.500,224.054,244.969,217.718,194.652,197.762,274.239,140.400,186.919,177.072,124.176,249.848,203.823,183.408,146.485,143.515,137.194,93.438,105.063,168.761,240.148,168.677,175.599,110.900,212.786,122.660,255.575,204.312,236.119
SRAD,year,3163.288,3257.437,3547.548,3379.876,3316.246,3234.816,3481.996,3305.783,3457.812,3460.480,3430.750,3372.629,3463.035,3390.807,3562.499,3563.703,3568.238,3559.854,3286.013,3640.883,3529.227,3481.841,3822.624,3518.906,3444.813,3665.588,3759.972,3541.276,3473.907,3633.805,3543.956,3731.600,3512.360,3693.145,3669.735,3647.184,3614.148,3458.429,3904.295,3776.999,3656.575,3487.581,3982.013,3956.018,3585.555
SRAD,MAMJJASO,2966.592,3055.320,3339.511,3158.475,3113.229,3004.676,3250.446,3079.209,3244.757,3247.874,3248.090,3176.636,3254.493,3169.009,3333.760,3334.200,3327.571,3354.567,3074.494,3442.490,3337.989,3249.091,3612.076,3317.846,3222.427,3436.122,3535.748,3312.781,3261.854,3430.627,3324.194,3473.362,3281.311,3480.277,3442.527,3433.893,3403.017,3254.762,3685.764,3552.189,3442.229,3210.561,3690.217,3730.184,3389.543
SRAD,AMJJAS,2572.034,2696.319,2932.401,2833.970,2749.237,2700.924,2866.869,2640.124,2884.777,2937.513,2855.745,2827.733,2932.945,2823.979,2972.704,3005.650,2903.549,2976.495,2647.234,3067.988,2933.276,2864.509,3236.704,2909.618,2864.501,2987.021,3140.557,2928.134,2920.794,3097.215,2907.168,3036.056,2904.330,3015.869,3030.629,3015.321,3037.988,2913.078,3248.730,3170.148,3014.113,2785.717,3206.263,3319.339,3017.728
SRAD,ONDJFM,413.046,549.568,598.907,537.164,594.520,515.131,601.482,632.817,555.711,593.318,565.252,542.293,546.930,541.226,587.684,541.569,700.959,606.981,572.836,619.297,576.126,618.278,594.068,632.372,548.791,648.178,672.635,608.616,538.504,555.921,584.842,705.362,650.551,660.487,626.731,588.845,640.206,560.922,608.152,638.172,651.346,589.207,798.847,644.788,623.879
SRAD,NDJF,120.344,210.143,206.020,209.493,218.323,217.272,239.398,220.559,201.914,231.796,184.530,196.734,205.537,210.400,225.907,215.867,256.750,223.717,184.290,212.251,209.990,199.080,216.563,222.361,203.202,239.771,222.247,231.852,198.641,219.659,214.621,250.479,241.856,205.308,232.270,205.181,220.599,206.517,219.319,219.875,216.644,223.959,318.208,228.851,218.909
