Country,Year,Dataset,TMAX_year,TMAX_MAMJJASO,TMAX_AMJJAS,TMAX_ONDJFM,TMAX_NDJF,TMIN_year,TMIN_MAMJJASO,TMIN_AMJJAS,TMIN_ONDJFM,TMIN_NDJF,TAVG_year,TAVG_MAMJJASO,TAVG_AMJJAS,TAVG_ONDJFM,TAVG_NDJF,RH_year,RH_MAMJJASO,RH_AMJJAS,RH_ONDJFM,RH_NDJF,RHmin_year,RHmin_MAMJJASO,RHmin_AMJJAS,RHmin_ONDJFM,RHmin_NDJF,PREC_year,PREC_MAMJJASO,PREC_AMJJAS,PREC_ONDJFM,PREC_NDJF,SRAD_year,SRAD_MAMJJASO,SRAD_AMJJAS,SRAD_ONDJFM,SRAD_NDJF,WIND_year,WIND_MAMJJASO,WIND_AMJJAS,WIND_ONDJFM,WIND_NDJF,VPD_year,VPD_MAMJJASO,VPD_AMJJAS,VPD_ONDJFM,VPD_NDJF,FWI_FD_year,FWI_FD_MAMJJASO,FWI_FD_AMJJAS,FWI_FD_ONDJFM,FWI_FD_NDJF,FWI_3+_year,FWI_3+_MAMJJASO,FWI_3+_AMJJAS,FWI_3+_ONDJFM,FWI_3+_NDJF,FWI_4+_year,FWI_4+_MAMJJASO,FWI_4+_AMJJAS,FWI_4+_ONDJFM,FWI_4+_NDJF,FWI_5+_year,FWI_5+_MAMJJASO,FWI_5+_AMJJAS,FWI_5+_ONDJFM,FWI_5+_NDJF,FWI_6_year,FWI_6_MAMJJASO,FWI_6_AMJJAS,FWI_6_ONDJFM,FWI_6_NDJF,DFM10H_year,DFM10H_MAMJJASO,DFM10H_AMJJAS,DFM10H_ONDJFM,DFM10H_NDJF,DFM10H_u10_year,DFM10H_u10_MAMJJASO,DFM10H_u10_AMJJAS,DFM10H_u10_ONDJFM,DFM10H_u10_NDJF,DFM10H_u8_year,DFM10H_u8_MAMJJASO,DFM10H_u8_AMJJAS,DFM10H_u8_ONDJFM,DFM10H_u8_NDJF,DFM10H_u6_year,DFM10H_u6_MAMJJASO,DFM10H_u6_AMJJAS,DFM10H_u6_ONDJFM,DFM10H_u6_NDJF,DFM10H_u4_year,DFM10H_u4_MAMJJASO,DFM10H_u4_AMJJAS,DFM10H_u4_ONDJFM,DFM10H_u4_NDJF,DFM10H_u2_year,DFM10H_u2_MAMJJASO,DFM10H_u2_AMJJAS,DFM10H_u2_ONDJFM,DFM10H_u2_NDJF,AWP0-40_S2+_year,AWP0-40_S2+_MAMJJASO,AWP0-40_S2+_AMJJAS,AWP0-40_S2+_ONDJFM,AWP0-40_S2+_NDJF,AWP0-40_S3+_year,AWP0-40_S3+_MAMJJASO,AWP0-40_S3+_AMJJAS,AWP0-40_S3+_ONDJFM,AWP0-40_S3+_NDJF,AWP0-40_S4+_year,AWP0-40_S4+_MAMJJASO,AWP0-40_S4+_AMJJAS,AWP0-40_S4+_ONDJFM,AWP0-40_S4+_NDJF,AWD0-40_sum_year,AWD0-40_sum_MAMJJASO,AWD0-40_sum_AMJJAS,AWD0-40_sum_ONDJFM,AWD0-40_sum_NDJF,AWR0-10_u30_year,AWR0-10_u30_MAMJJASO,AWR0-10_u30_AMJJAS,AWR0-10_u30_ONDJFM,AWR0-10_u30_NDJF,AWR0-40_u30_year,AWR0-40_u30_MAMJJASO,AWR0-40_u30_AMJJAS,AWR0-40_u30_ONDJFM,AWR0-40_u30_NDJF,Share_Con,Share_Pines,FA_kha,BFA_ha,BFAI
AUT,2000,Cal,11.237,15.429,17.558,3.449,0.962,2.223,5.897,7.516,-4.453,-6.922,6.701,10.709,12.65,-0.622,-3.083,79.266,77.424,75.971,80.81,81.134,60.509,56.817,54.545,64.644,66.065,1309.815,970.092,677.251,560.391,335.091,4571.012,3907.433,3304.337,1284.803,665.658,1.582,1.569,1.513,1.73,1.698,0.29,0.383,0.449,0.131,0.102,0.683,0.986,1.258,0.131,0.066,4.811,4.811,4.811,0,0,0.28,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0,0,25.108,22.709,21.428,29.564,31.978,22.244,21.928,20.969,1.305,0.316,2.493,2.493,2.477,0.016,0,0.068,0.068,0.068,0,0,0,0,0,0,0,0,0,0,0,0,25.995,25.418,25.235,0.933,0.529,11.683,11.66,11.645,0.073,0.026,3.188,3.188,3.188,0.002,0,-768.296,-758.827,-769.777,-54.954,-17.449,5.488,5.488,5.487,0,0,6.327,6.327,6.326,0.037,0.016,0.8613,0.0217,3954.830207,42,0.010619925
AUT,2001,Ver,10.208,14.846,16.065,5.36,2.965,1.605,5.71,6.839,-2.3,-4.517,5.93,10.361,11.645,1.336,-0.959,79.318,78.41,76.819,83.864,83.777,61.266,58.568,57.215,67.99,69.339,1255.411,948.86,788.161,581.6,328.646,4385.785,3734.273,3121.44,1195.519,632.558,1.58,1.564,1.602,1.533,1.523,0.273,0.357,0.409,0.127,0.101,0.602,0.837,1.009,0.108,0.079,2.649,2.649,2.649,0,0,0.12,0.12,0.12,0,0,0.001,0.001,0.001,0,0,0,0,0,0,0,25.182,22.355,22.17,28.008,29.246,18.155,17.584,16.59,0.664,0.494,1.091,1.091,1.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.869,24.39,20.521,2.73,2.228,10.798,8.093,7.427,0.366,0.176,2.261,1.707,1.7,0.007,0,-730.912,-632.954,-561.735,-15.105,-29.608,2.272,2.272,2.271,0.001,0,3.661,3.661,3.661,0,0,0.8613,0.0217,3960.106229,24,0.006060443
AUT,2002,Cal,10.974,14.679,16.599,4.929,1.558,2.477,5.74,7.671,-3.726,-6.6,6.711,10.277,12.269,0.419,-2.692,79.963,78.51,78.303,79.534,79.599,62.161,58.945,58.654,62.373,64.423,1376.592,1065.63,843.813,411.679,265.344,4368.229,3749.669,3089.615,1357.53,664.373,1.551,1.536,1.505,1.593,1.643,0.266,0.343,0.39,0.157,0.115,0.478,0.67,0.795,0.27,0.143,1.546,1.546,1.544,0,0,0.053,0.053,0.053,0,0,0,0,0,0,0,0,0,0,0,0,25.006,22.615,22.293,27.276,30.484,16.67,16.098,12.236,4.687,0.588,1.011,0.968,0.743,0.325,0.043,0.012,0.012,0,0.012,0,0,0,0,0,0,0,0,0,0,0,30.079,21.253,15.42,23.718,14.531,15.43,9.844,6.797,11.594,8.071,6.463,3.117,2.201,4.815,3.899,-411.089,-346.836,-311.652,-295.659,-141.398,1.824,1.824,1.593,0.232,0,1.603,1.603,1.603,0,0,0.8613,0.0217,3964.363693,86,0.021693267
AUT,2003,Cal,11.124,15.77,18.612,3.945,1.467,1.434,5.532,8.096,-4.517,-6.502,6.344,10.829,13.601,-0.321,-2.535,75.811,73.437,72.44,81.016,82.978,56.327,51.933,50.419,64.907,68.916,1001.205,759.18,599.943,468.634,313.814,4859.872,4153.546,3462.5,1344.728,657.346,1.529,1.514,1.497,1.533,1.527,0.348,0.467,0.554,0.134,0.091,0.962,1.389,1.735,0.149,0.053,6.877,6.877,6.877,0.003,0,0.441,0.441,0.441,0,0,0.002,0.002,0.002,0,0,0,0,0,0,0,24.339,21.516,20.058,29.326,31.829,41.8,41.097,36.408,4.835,0.086,7.529,7.363,6.67,0.718,0,0.228,0.221,0.218,0.003,0,0,0,0,0,0,0,0,0,0,0,52.543,48.01,42.321,8.135,2.579,26.178,25.368,22.248,3.718,0.688,10.021,9.983,8.841,1.12,0.038,-1477.996,-1426.004,-1343.084,-63.791,-17.77,4.841,4.841,4.212,0.629,0,9.263,9.263,9.223,0,0,0.8613,0.0217,3968.621156,114.6,0.028876528
AUT,2004,Ver,9.861,13.988,15.892,3.311,2.023,1.304,4.908,6.619,-4.589,-5.584,5.609,9.549,11.451,-0.788,-1.966,79.561,79.552,78.693,80.498,80.781,61.354,59.757,58.622,64.263,65.827,1294.592,999.191,817.153,533.064,321.367,4391.633,3739.195,3111.567,1298.836,660.89,1.546,1.482,1.477,1.657,1.672,0.25,0.317,0.364,0.13,0.111,0.361,0.488,0.587,0.129,0.093,1.222,1.222,1.22,0,0,0.055,0.055,0.055,0,0,0,0,0,0,0,0,0,0,0,0,26.06,23.973,22.9,29.412,29.595,10.425,9.258,8.553,1.969,1.12,0.378,0.33,0.284,0.254,0.2,0,0,0,0.006,0.006,0,0,0,0,0,0,0,0,0,0,12.886,8.197,8.192,3.978,3.825,5.073,3.968,3.968,0.662,0.572,1.402,1.353,1.353,0.061,0.001,-54.467,-12.925,-23.92,-19.496,-41.19,1.425,1.425,1.425,0,0,2.876,2.876,2.862,0.04,0,0.8613,0.0217,3972.87862,9.3,0.002340872
AUT,2005,Cal,9.691,14.409,16.352,3.702,1.158,0.918,4.997,7.097,-4.571,-6.494,5.355,9.82,11.921,-0.594,-2.865,79.13,78.408,78.111,79.485,78.728,60.738,58.363,58.309,62.829,63.453,1331.239,990.626,877.628,434.759,281.345,4475.397,3812.041,3112.349,1327.358,668.522,1.551,1.503,1.496,1.63,1.697,0.257,0.335,0.382,0.135,0.113,0.418,0.58,0.62,0.126,0.103,0.597,0.597,0.597,0.003,0,0.017,0.017,0.017,0,0,0,0,0,0,0,0,0,0,0,0,25.752,23.096,22.584,28.704,29.727,15.776,15.044,13.823,1.566,0.979,0.523,0.506,0.485,0.018,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.567,23.883,13.916,7.609,7.583,17.387,12.216,7.733,2.4,2.399,5.537,4.588,3.507,0.328,0.328,-413.183,-250.262,-121.256,-55.836,-63.096,1.362,1.302,1.244,0,0,0.918,0.918,0.918,0.014,0,0.8613,0.0217,3977.136084,25.5,0.006411649
AUT,2006,Cal,10.609,14.747,16.868,2.581,-0.089,1.728,5.385,7.396,-5.346,-7.58,6.135,10.184,12.331,-1.541,-3.989,79.567,78.502,77.842,81.851,82.403,60.854,58.111,57.39,65.301,67.575,1195.354,953.782,791.522,452.301,299.441,4576.693,3889.752,3224.069,1333.974,674.534,1.512,1.508,1.491,1.498,1.484,0.27,0.352,0.404,0.118,0.086,0.534,0.737,0.789,0.198,0.076,1.579,1.572,1.429,0,0,0.056,0.056,0.056,0,0,0,0,0,0,0,0,0,0,0,0,25.672,23.567,22.87,30.072,32.466,14.396,13.947,12.738,1.731,0.497,0.788,0.771,0.766,0.034,0.013,0.006,0.006,0.006,0,0,0,0,0,0,0,0,0,0,0,0,37.381,28.808,19.404,19.592,9.645,19.944,15.298,10.406,7.953,3.471,7.492,5.817,4.119,1.752,0.671,-655.612,-500.083,-282.513,-247.732,-124.61,2.752,2.752,1.804,0.118,0.059,3.629,3.402,1.775,0,0,0.8613,0.0217,3981.393548,28,0.007032713
AUT,2007,Ver,11.114,15.23,17.543,6.815,4.833,2.365,5.649,7.608,-1.432,-2.798,6.762,10.582,12.787,2.452,0.722,78.684,76.878,75.52,81.476,82.491,60.38,56.672,54.845,64.002,66.926,1331.108,981.679,779.381,446.454,277.235,4557.566,3919.17,3287.317,1313.376,643.519,1.601,1.536,1.534,1.658,1.686,0.298,0.389,0.457,0.16,0.124,0.768,1.099,1.392,0.325,0.151,5.75,5.75,5.75,0.151,0.008,0.574,0.574,0.574,0,0,0.013,0.013,0.013,0,0,0,0,0,0,0,24.589,21.936,21.098,25.195,26.93,27.369,27.195,25.634,2.625,0.543,3.337,3.337,3.311,0.024,0.018,0.15,0.15,0.15,0,0,0,0,0,0,0,0,0,0,0,0,40.963,35.723,32.575,24.264,12.569,24.541,22.745,21.739,12.231,6.429,11.876,11.35,11.167,4.079,2.199,-916.187,-872.649,-841.942,-463.385,-206.119,10.19,10.19,10.19,0.948,0,7.165,7.165,7.165,1.855,0.228,0.8613,0.0217,3985.651012,32.9,0.008254611
AUT,2008,Cal,10.805,14.464,16.427,4.148,2.506,2.337,5.395,7.275,-3.445,-4.856,6.562,10.04,12.029,0.146,-1.469,79.866,79.076,78.781,80.318,80.344,61.477,59.124,58.799,64.394,65.613,1305.058,1018.215,825.339,473.291,266.375,4408.187,3743.431,3112.928,1291.96,680.907,1.535,1.487,1.449,1.627,1.636,0.261,0.33,0.377,0.139,0.119,0.389,0.509,0.612,0.147,0.132,0.603,0.603,0.601,0,0,0.006,0.006,0.006,0,0,0,0,0,0,0,0,0,0,0,0,24.756,22.965,22.691,28.179,29.668,13.572,11.34,9.08,4.137,2.151,1.249,0.439,0.368,0.904,0.809,0.032,0,0,0.032,0.032,0,0,0,0,0,0,0,0,0,0,18.491,8.8,7.242,12.557,10.18,8.024,3.208,2.746,5.34,4.783,2.232,0.665,0.526,1.709,1.568,-147.273,-49.202,-8.613,-99.707,-68.292,1.562,1.518,1.501,0.027,0.014,0.735,0.733,0.733,0,0,0.8613,0.0217,3989.908476,42.5,0.010651873
AUT,2009,Cal,10.486,14.915,17.584,3.597,1.2,2.054,5.913,8.018,-3.708,-5.689,6.269,10.495,12.94,-0.206,-2.403,80.289,79.159,78.496,82.602,83.008,62.272,59.477,58.232,66.71,68.778,1427.431,1097.031,856.009,596.571,378.315,4479.25,3848.228,3233.415,1249.488,626.627,1.544,1.546,1.465,1.639,1.623,0.258,0.337,0.393,0.121,0.093,0.381,0.537,0.654,0.116,0.078,0.649,0.649,0.642,0.002,0,0.001,0.001,0.001,0,0,0,0,0,0,0,0,0,0,0,0,26.159,24.037,22.875,29.179,31.153,12.362,12.128,11.222,1.905,0.322,0.859,0.857,0.803,0.054,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.604,7.893,7.213,4.271,4.218,3.191,1.605,1.566,1.539,1.539,0.109,0.053,0.053,0.057,0.057,-158.267,-135.301,-109.863,-55.385,-46.797,3.447,3.447,3.322,0.035,0.031,1.685,1.685,1.448,0.003,0.003,0.8613,0.0217,3992.189524,25.5,0.006387472
